,Noise Param,Error Qz
0,9.999999999999999e-05,9.999499999996386e-05
1,0.00010974987654930556,0.00010974385403161868
2,0.00012045035402587825,0.00012044309988196167
3,0.00013219411484660285,0.00013218537720455226
4,0.000145082877849594,0.00014507235332894552
5,0.00015922827933410923,0.00015921560251164202
6,0.00017475284000076832,0.00017473757072322682
7,0.00019179102616724886,0.00019177263426845004
8,0.00021049041445120195,0.00021046826134391017
9,0.00023101297000831602,0.00023098628651213593
10,0.00025353644939701115,0.00025350430903137156
11,0.0002782559402207126,0.00027821722703652574
12,0.0003053855508833415,0.0003053389207159918
13,0.00033516026509388406,0.0003351040988922027
14,0.0003678379771828634,0.0003677703247941255
15,0.0004037017258596554,0.0004036202383179699
16,0.0004430621457583882,0.0004429639937258978
17,0.00048626015800653534,0.00048614193353591073
18,0.0005336699231206312,0.0005335275213272372
19,0.0005857020818056667,0.0005855305583413184
20,0.0006428073117284319,0.0006426007111083876
21,0.0007054802310718646,0.0007052313798936449
22,0.000774263682681127,0.0007739639405558996
23,0.0008497534359086447,0.0008493923954577265
24,0.0009326033468832199,0.0009321684723818668
25,0.0010235310218990267,0.0010230072140225976
26,0.0011233240329780276,0.001122693104536443
27,0.0012328467394420659,0.0012320867839005212
28,0.0013530477745798074,0.0013521324054396322
29,0.001484968262254465,0.0014838656968844677
30,0.0016297508346206433,0.0016284227907292226
31,0.001788649529057435,0.0017870498954885572
32,0.0019630406500402726,0.0019611138857434374
33,0.0021544346900318847,0.0021521138956150376
34,0.002364489412645407,0.0023616940075542048
35,0.002595024211399737,0.0025916571360709018
36,0.002848035868435802,0.0028439802142818937
37,0.003125715849688235,0.0031208307999017193
38,0.003430469286314919,0.003424585226552812
39,0.0037649358067924714,0.003757848435977873
40,0.0041320124001153384,0.004123475636877927
41,0.004534878508128582,0.004524595946586885
42,0.004977023564332114,0.004964638182552217
43,0.0054622772176843425,0.005447358981482908
44,0.005994842503189409,0.005976873434870356
45,0.006579332246575682,0.006557688440170295
46,0.007220809018385471,0.007194738976945503
47,0.007924828983539177,0.007893427526330044
48,0.008697490026177835,0.008659666859800075
49,0.009545484566618348,0.009499926428812533
50,0.010476157527896652,0.010421282589621994
51,0.011497569953977368,0.011431472896554051
52,0.01261856883066021,0.012538954690993198
53,0.01384886371393873,0.013752968200855031
54,0.015199110829529348,0.015083604344525159
55,0.01668100537200059,0.016541877401890226
56,0.018307382802953697,0.018139802670406824
57,0.020092330025650477,0.01989047916272063
58,0.022051307399030454,0.02180817732002721
59,0.02420128264794383,0.023908431607041036
60,0.026560877829466867,0.02620813771393088
61,0.02915053062825179,0.028725653910297466
62,0.03199267137797385,0.0314809058670244
63,0.03511191734215135,0.03449549397243035
64,0.03853528593710531,0.037792801805978105
65,0.04229242874389499,0.04139810397936622
66,0.04641588833612782,0.04533867099111194
67,0.0509413801481638,0.04964386804246396
68,0.055908101825122285,0.05434524390027817
69,0.06135907273413176,0.059476604830735524
70,0.06734150657750827,0.06507406732344395
71,0.07390722033525782,0.0711760817264156
72,0.08111308307896872,0.07782341695568085
73,0.08902150854450393,0.08505909405273437
74,0.09770099572992255,0.09292825344661337
75,0.10722672220103242,0.10147793722404375
76,0.1176811952434999,0.11075676338653057
77,0.1291549665014884,0.1208144638154881
78,0.14174741629268062,0.13170125127985538
79,0.15556761439304723,0.1434669730690753
80,0.1707352647470692,0.15615999943294334
81,0.1873817422860385,0.16982578361496276
82,0.20565123083486536,0.18450501646291784
83,0.22570197196339215,0.20023128188931022
84,0.24770763559917114,0.2170280992321053
85,0.2718588242732943,0.23490521410566528
86,0.298364724028334,0.2538539697560821
87,0.3274549162877732,0.27384155518725684
88,0.359381366380463,0.2948038831297187
89,0.394420605943766,0.31663679874724227
90,0.4328761281083061,0.3391852569652868
91,0.4750810162102798,0.3622300302285838
92,0.521400828799969,0.3854714166633217
93,0.5722367659350219,0.40850930779113537
94,0.6280291441834259,0.43081884121154274
95,0.6892612104349701,0.45172070232983
96,0.7564633275546291,0.47034494458711806
97,0.8302175681319752,0.4855869629144898
98,0.9111627561154896,0.496053972049502
99,1.0,0.5
