,Noise Param,Error Qz1,Error Qz2
0,0.0,0.0,0.0
1,0.03571428571428571,0.05278350515463918,0.06577319587628866
2,0.07142857142857142,0.09731958762886599,0.1265979381443299
3,0.10714285714285714,0.1445360824742268,0.1865979381443299
4,0.14285714285714285,0.1875257731958763,0.22628865979381443
5,0.17857142857142855,0.2231958762886598,0.2725773195876289
6,0.21428571428571427,0.261340206185567,0.308659793814433
7,0.25,0.2804123711340206,0.3389690721649484
8,0.2857142857142857,0.3132989690721649,0.37072164948453606
9,0.3214285714285714,0.34845360824742266,0.4022680412371134
10,0.3571428571428571,0.37051546391752577,0.41329896907216496
11,0.39285714285714285,0.3988659793814433,0.43443298969072164
12,0.42857142857142855,0.40835051546391754,0.4415463917525773
13,0.46428571428571425,0.4268041237113402,0.468659793814433
14,0.5,0.43061855670103094,0.464020618556701
