,Noise Param,Error Qz1,Error Qz2
0,9.999999999999999e-05,0.001,0.0
1,0.00031622776601683794,0.0022,0.0004
2,0.001,0.0062,0.0008
3,0.0031622776601683794,0.0245,0.0033
4,0.01,0.0703,0.0101
5,0.03162277660168379,0.1953,0.03
6,0.09999999999999999,0.3961,0.093
7,0.31622776601683794,0.4947,0.2656
8,1.0,0.4993,0.4962
