,Noise Param,Error Qz1,Error Qz2
0,9.999999999999999e-05,0.0003,0.0001
1,0.00031622776601683794,0.0007,0.0003
2,0.001,0.0022,0.0008
3,0.0031622776601683794,0.0072,0.0021
4,0.01,0.0245,0.01
5,0.03162277660168379,0.0745,0.0311
6,0.09999999999999999,0.1972,0.0904
7,0.31622776601683794,0.4287,0.271
8,1.0,0.5063,0.4965
