,Noise Param,Error Qz1,Error Qz2,Error Qz3,Error Qz4
0,0.0,0.0,0.0,0.0,0.0
1,0.03571428571428571,0.08494845360824742,0.06814432989690722,0.05123711340206186,0.03577319587628866
2,0.07142857142857142,0.1531958762886598,0.12474226804123711,0.09597938144329897,0.06505154639175258
3,0.10714285714285714,0.22309278350515463,0.18237113402061855,0.14061855670103093,0.10144329896907217
4,0.14285714285714285,0.2631958762886598,0.23381443298969073,0.18597938144329898,0.1320618556701031
5,0.17857142857142855,0.3163917525773196,0.2775257731958763,0.21989690721649485,0.1652577319587629
6,0.21428571428571427,0.351340206185567,0.30443298969072163,0.25536082474226807,0.1922680412371134
7,0.25,0.3839175257731959,0.34164948453608246,0.28505154639175256,0.21577319587628865
8,0.2857142857142857,0.4072164948453608,0.37463917525773194,0.3134020618556701,0.24896907216494846
9,0.3214285714285714,0.43371134020618557,0.39484536082474225,0.34505154639175256,0.27969072164948455
10,0.3571428571428571,0.45639175257731956,0.42041237113402063,0.37247422680412373,0.2907216494845361
11,0.39285714285714285,0.4592783505154639,0.4322680412371134,0.38927835051546394,0.32422680412371135
12,0.42857142857142855,0.46783505154639177,0.4362886597938144,0.40989690721649485,0.3338144329896907
13,0.46428571428571425,0.4741237113402062,0.4543298969072165,0.42371134020618556,0.36371134020618556
14,0.5,0.491340206185567,0.467319587628866,0.43391752577319587,0.37969072164948453
