,Noise Param,Error Qz1,Error Qz2
0,0.0,0.0,0.0
1,0.03571428571428571,0.07835051546391752,0.06298969072164949
2,0.07142857142857142,0.15061855670103091,0.12824742268041237
3,0.10714285714285714,0.2115463917525773,0.177319587628866
4,0.14285714285714285,0.2724742268041237,0.2343298969072165
5,0.17857142857142855,0.30876288659793816,0.282680412371134
6,0.21428571428571427,0.35865979381443297,0.3061855670103093
7,0.25,0.3838144329896907,0.3481443298969072
8,0.2857142857142857,0.4056701030927835,0.3661855670103093
9,0.3214285714285714,0.42938144329896905,0.3919587628865979
10,0.3571428571428571,0.4475257731958763,0.4160824742268041
11,0.39285714285714285,0.46123711340206186,0.4317525773195876
12,0.42857142857142855,0.46835051546391754,0.4536082474226804
13,0.46428571428571425,0.4705154639175258,0.4570103092783505
14,0.5,0.4947422680412371,0.471340206185567
