,Noise Param,Error Qz1,Error Qz2,Error Qz3
0,0.0,0.0,0.0,0.0
1,0.03571428571428571,0.05567010309278351,0.07144329896907216,0.08422680412371134
2,0.07142857142857142,0.10041237113402061,0.1258762886597938,0.15309278350515465
3,0.10714285714285714,0.14597938144329897,0.18010309278350514,0.21288659793814432
4,0.14285714285714285,0.1890721649484536,0.23,0.26948453608247425
5,0.17857142857142855,0.22474226804123712,0.28175257731958764,0.3188659793814433
6,0.21428571428571427,0.2654639175257732,0.3079381443298969,0.34876288659793814
7,0.25,0.28484536082474227,0.3458762886597938,0.37072164948453606
8,0.2857142857142857,0.31443298969072164,0.36711340206185566,0.40556701030927833
9,0.3214285714285714,0.3460824742268041,0.3931958762886598,0.4315463917525773
10,0.3571428571428571,0.37082474226804124,0.41381443298969073,0.44587628865979384
11,0.39285714285714285,0.38618556701030926,0.4330927835051546,0.4570103092783505
12,0.42857142857142855,0.41144329896907217,0.4511340206185567,0.47
13,0.46428571428571425,0.43072164948453606,0.455360824742268,0.4739175257731959
14,0.5,0.43278350515463915,0.4739175257731959,0.48989690721649487
