,Noise Param,Error Qx
0,0.0,0.0
1,0.05263157894736842,0.18298969072164947
2,0.10526315789473684,0.2984536082474227
3,0.15789473684210525,0.37752577319587627
4,0.21052631578947367,0.417319587628866
5,0.2631578947368421,0.45783505154639176
6,0.3157894736842105,0.48020618556701034
7,0.3684210526315789,0.4965979381443299
8,0.42105263157894735,0.4928865979381443
9,0.47368421052631576,0.4951546391752577
10,0.5263157894736842,0.49721649484536085
11,0.5789473684210527,0.5039175257731959
12,0.631578947368421,0.504020618556701
13,0.6842105263157894,0.49391752577319586
14,0.7368421052631579,0.4984536082474227
15,0.7894736842105263,0.49896907216494846
16,0.8421052631578947,0.5070103092783506
17,0.894736842105263,0.49742268041237114
18,0.9473684210526315,0.5024742268041237
19,1.0,0.5003092783505154
