,Noise Param,Fidelity
0,0.0,1.0
1,0.07142857142857142,0.8283290430623335
2,0.14285714285714285,0.726996275860163
3,0.21428571428571427,0.6680144918797464
4,0.2857142857142857,0.6261046405176182
5,0.3571428571428571,0.6020684254519827
6,0.42857142857142855,0.5769013080129368
7,0.5,0.5619758061079684
8,0.5714285714285714,0.5441371526275404
9,0.6428571428571428,0.5311862779752238
10,0.7142857142857142,0.5192592590096125
11,0.7857142857142857,0.5109805451116574
12,0.8571428571428571,0.5047354997621686
13,0.9285714285714285,0.5012331980428002
14,1.0,0.5000666743146727
