9.993471008538141742e-01,9.981925654939465264e-01,9.949956008030867993e-01,9.863254827433974858e-01,9.627242614052800018e-01,9.052884716644047369e-01,7.803602798541188212e-01,6.147561792494277144e-01,5.107601768682991095e-01,5.000611147803976086e-01
9.990512948508708524e-01,9.979260309460464828e-01,9.947079269076147812e-01,9.859606735248371834e-01,9.625319542262859018e-01,9.059949700973124465e-01,7.787906779289642811e-01,6.087079946660064467e-01,5.103451739454094582e-01,5.000659673061288446e-01
9.982575631715699949e-01,9.971937948691899090e-01,9.939284326803041747e-01,9.854391530099010366e-01,9.615500155701774965e-01,9.037169772577051674e-01,7.801763158933450182e-01,6.110678447686413994e-01,5.102847723696372073e-01,5.000654364845764643e-01
9.962008166146336663e-01,9.951522379048577394e-01,9.918807185218111444e-01,9.831424093483634996e-01,9.601265910555073502e-01,9.015140643132129039e-01,7.801395535571419293e-01,6.105848962408739755e-01,5.105450290662909563e-01,5.000646149931791129e-01
9.905526985221109193e-01,9.889812351769506904e-01,9.858590900064994056e-01,9.776344459732498882e-01,9.544795795517508896e-01,8.986258617112332647e-01,7.766278431407263039e-01,6.101790984982708999e-01,5.102070370247782094e-01,5.000692146729394105e-01
9.743525229284988320e-01,9.731456254831428732e-01,9.706516697637417312e-01,9.617550910464290892e-01,9.400012974970257673e-01,8.842822131279957087e-01,7.688550874721554740e-01,6.076422315518059669e-01,5.104327807823338947e-01,5.000674935325130077e-01
9.315179350616105136e-01,9.329926769538329223e-01,9.307245012928287986e-01,9.223860733038294901e-01,9.012125760055087476e-01,8.517745957227157438e-01,7.487949678361059958e-01,5.987774216092699442e-01,5.100132252758423634e-01,5.000670758294994966e-01
8.414695826128999467e-01,8.427007919462112806e-01,8.379534607894548737e-01,8.340892589475704666e-01,8.193132067610973124e-01,7.853833280140207762e-01,7.025364795123721917e-01,5.864021755127262203e-01,5.091426674167345290e-01,5.000662474657544543e-01
6.923827050881373735e-01,6.908410747561782861e-01,6.830620624016248144e-01,6.891537461639954953e-01,6.805262645141831879e-01,6.644319029083058936e-01,6.256996590931283020e-01,5.618443189198502052e-01,5.070885711202728352e-01,5.000615878509080403e-01
5.576502968391218173e-01,5.556914888314468115e-01,5.588897040158619101e-01,5.556423552647707931e-01,5.549425301935119181e-01,5.520263554262212491e-01,5.397743233981088240e-01,5.218482625378305650e-01,5.026968560197804248e-01,5.000690754348399159e-01
