,Noise Param,Fidelity
0,0.0,1.0
1,0.07142857142857142,0.7265349364161724
2,0.14285714285714285,0.5531130390869938
3,0.21428571428571427,0.4438901100585209
4,0.2857142857142857,0.3749880570140695
5,0.3571428571428571,0.33100198754568644
6,0.42857142857142855,0.3023314182692114
7,0.5,0.28320315335721874
8,0.5714285714285714,0.27024846188613755
9,0.6428571428571428,0.26152082916086195
10,0.7142857142857142,0.2558531421309523
11,0.7857142857142857,0.25246220674116027
12,0.8571428571428571,0.2507289899111738
13,0.9285714285714285,0.25009110093891546
14,1.0,0.25000008998914375
