,Noise Param,Fidelity
0,9.999999999999999e-05,0.9998796131164577
1,0.00010974987654930556,0.9998431709969631
2,0.00012045035402587825,0.9998093224745159
3,0.00013219411484660285,0.9997755283419485
4,0.000145082877849594,0.9997398588862804
5,0.00015922827933410923,0.9997163213213861
6,0.00017475284000076832,0.9996667074641823
7,0.00019179102616724886,0.9996455700804622
8,0.00021049041445120195,0.9995818636878894
9,0.00023101297000831602,0.9995326626134022
10,0.00025353644939701115,0.9994609933706625
11,0.0002782559402207126,0.9994003434008555
12,0.0003053855508833415,0.9993050020042503
13,0.00033516026509388406,0.9992247189637955
14,0.0003678379771828634,0.9991371786507891
15,0.0004037017258596554,0.9991001157711611
16,0.0004430621457583882,0.9989243267491501
17,0.00048626015800653534,0.9988049875525513
18,0.0005336699231206312,0.9986967322711544
19,0.0005857020818056667,0.9985527309921727
20,0.0006428073117284319,0.9983781067800426
21,0.0007054802310718646,0.998314692633676
22,0.000774263682681127,0.9980399716938003
23,0.0008497534359086447,0.9979109652998545
24,0.0009326033468832199,0.9975892855579213
25,0.0010235310218990267,0.9974136177917371
26,0.0011233240329780276,0.9971504464080616
27,0.0012328467394420659,0.9968761517713
28,0.0013530477745798074,0.9964892142422896
29,0.001484968262254465,0.9961245533294499
30,0.0016297508346206433,0.9959391913938781
31,0.001788649529057435,0.9956476693875896
32,0.0019630406500402726,0.9949699395733113
33,0.0021544346900318847,0.9943852356921311
34,0.002364489412645407,0.9938916287003327
35,0.002595024211399737,0.9932220842194269
36,0.002848035868435802,0.9927220027194525
37,0.003125715849688235,0.9919360327139499
38,0.003430469286314919,0.9911857138727516
39,0.0037649358067924714,0.9902406454574763
40,0.0041320124001153384,0.9898737524800446
41,0.004534878508128582,0.9880766973066968
42,0.004977023564332114,0.9869166276926594
43,0.0054622772176843425,0.9860637313900725
44,0.005994842503189409,0.9843798770914879
45,0.006579332246575682,0.9835399277278792
46,0.007220809018385471,0.9815343580333421
47,0.007924828983539177,0.979868206862476
48,0.008697490026177835,0.9774025605836826
49,0.009545484566618348,0.9758023086800811
50,0.010476157527896652,0.9736746765834958
51,0.011497569953977368,0.9709852819398054
52,0.01261856883066021,0.969095061252019
53,0.01384886371393873,0.964949540653216
54,0.015199110829529348,0.9620123775575907
55,0.01668100537200059,0.9580691663736159
56,0.018307382802953697,0.9551304210767994
57,0.020092330025650477,0.9511710471302542
58,0.022051307399030454,0.9473841232356868
59,0.02420128264794383,0.941755956307715
60,0.026560877829466867,0.9349371617220359
61,0.02915053062825179,0.9331829567528828
62,0.03199267137797385,0.9281327843634767
63,0.03511191734215135,0.9202271827922246
64,0.03853528593710531,0.9109443459967024
65,0.04229242874389499,0.9038776596301679
66,0.04641588833612782,0.8986363734719829
67,0.0509413801481638,0.8869252140735204
68,0.055908101825122285,0.8836669621897937
69,0.06135907273413176,0.875182347758497
70,0.06734150657750827,0.8673364573240895
71,0.07390722033525782,0.861189772139215
72,0.08111308307896872,0.8477021649531741
73,0.08902150854450393,0.840530500021052
74,0.09770099572992255,0.8299999814234663
75,0.10722672220103242,0.8238694273831526
76,0.1176811952434999,0.8060415364028325
77,0.1291549665014884,0.7936691863794502
78,0.14174741629268062,0.7910655589217175
79,0.15556761439304723,0.7819804398288426
80,0.1707352647470692,0.7723243419983722
81,0.1873817422860385,0.7627168604410269
82,0.20565123083486536,0.7441112529409213
83,0.22570197196339215,0.7523667046674748
84,0.24770763559917114,0.7432708477821982
85,0.2718588242732943,0.7399472356719581
86,0.298364724028334,0.7351770284386439
87,0.3274549162877732,0.7347697165277979
88,0.359381366380463,0.7384605992344216
89,0.394420605943766,0.7365431780971088
90,0.4328761281083061,0.7304412514272607
91,0.4750810162102798,0.7223415929485527
92,0.521400828799969,0.7357619864671329
93,0.5722367659350219,0.7247457687481607
94,0.6280291441834259,0.7280138989854027
95,0.6892612104349701,0.7330002540628829
96,0.7564633275546291,0.720901166335007
97,0.8302175681319752,0.7292090156538353
98,0.9111627561154896,0.7380832592900411
99,1.0,0.7305108737493877
