,Noise Param,Fidelity
0,0.0,1.0
1,0.07142857142857142,0.9492639524582963
2,0.14285714285714285,0.903201244154339
3,0.21428571428571427,0.8632366317721711
4,0.2857142857142857,0.8245902840277731
5,0.3571428571428571,0.7841968183063283
6,0.42857142857142855,0.7554930318200056
7,0.5,0.7232479931669882
8,0.5714285714285714,0.7006376704974956
9,0.6428571428571428,0.6738575536699866
10,0.7142857142857142,0.6630523777989442
11,0.7857142857142857,0.6473515247528812
12,0.8571428571428571,0.6421287162663858
13,0.9285714285714285,0.6351936950320826
14,1.0,0.6422053562952302
