,Noise Param,Fidelity
0,0.0,1.0
1,0.07142857142857142,0.9174942012688867
2,0.14285714285714285,0.8551567391904995
3,0.21428571428571427,0.8132478797541377
4,0.2857142857142857,0.7791737822336025
5,0.3571428571428571,0.7679104461504711
6,0.42857142857142855,0.7486457983535552
7,0.5,0.7546307259740631
8,0.5714285714285714,0.7434768767921307
9,0.6428571428571428,0.7454870046932994
10,0.7142857142857142,0.7356618922859024
11,0.7857142857142857,0.7378748423130973
12,0.8571428571428571,0.7289377160947986
13,0.9285714285714285,0.7294783984007667
14,1.0,0.7297419164948281
